sample_id	cluster	cuproptosis	disulfidptosis	ferroptosis
TCGA-HZ-8001-01A-11R-2204-07	C1	0.752335197488081	0.338328195141292	0.490840853425886
TCGA-HZ-8002-01A-11R-2204-07	C3	1.11526188993453	0.551603655326939	0.465265567019542
TCGA-HZ-8003-01A-21R-2204-07	C3	0.238280193842849	-0.174188932050215	-0.276408932821311
TCGA-HZ-8005-01A-11R-2204-07	C1	0.10868543606862	0.679805787770526	0.224795763983625
TCGA-HZ-8315-01A-11R-2404-07	C3	0.984085958665879	0.717335442107234	0.480274832632285
TCGA-HZ-8317-01A-11R-2404-07	C3	0.463123641027333	0.282999496473891	0.0717301863986804
TCGA-HZ-8519-01A-11R-2404-07	C3	1.86288454464045	1.24487091152325	1.32668310073983
TCGA-HZ-8636-01A-21R-2404-07	C3	1.09476785053257	1.19560172137591	0.739826660006482
TCGA-HZ-8637-01A-11R-2404-07	C1	2.00165055659153	0.956582665379392	1.44132098125915
TCGA-HZ-8638-01A-11R-2404-07	C3	1.80705849768126	1.20917515232447	1.12924759599656
TCGA-HZ-A49G-01A-11R-A26U-07	C3	-0.226974656518819	-0.468677620414889	-0.425039080257922
TCGA-HZ-A49H-01A-11R-A26U-07	C1	-0.214737385751499	-0.461877335039072	-0.250070694418007
TCGA-HZ-A49I-01A-12R-A26U-07	C1	-0.523811325309331	-0.469490525215838	-0.363578963143216
TCGA-HZ-A4BH-01A-11R-A26U-07	C3	-0.0528456113724609	-0.00946195355162703	0.0214090603974623
TCGA-HZ-A4BK-01A-11R-A26U-07	C1	-0.0255237683337887	-0.242096023806113	0.0181711573307145
TCGA-HZ-A77O-01A-11R-A33R-07	C1	-0.265882911354289	-0.345560504963061	-0.203414373208568
TCGA-HZ-A77P-01A-11R-A33R-07	C3	1.0430301902794	0.478930781392545	0.506590031848347
TCGA-HZ-A77Q-01A-11R-A36G-07	C2	-0.867703500593386	-0.285096452320849	-0.133120419514944
TCGA-HZ-A8P1-01A-11R-A37L-07	C1	-0.340865528901605	-0.562872504137312	-0.614694118760316
TCGA-HZ-A9TJ-01A-11R-A41I-07	C1	-0.156128674004502	0.248986737288246	-0.00336033306473947
TCGA-IB-7644-01A-11R-2156-07	C3	0.924107377306312	1.0793327276118	0.738300115895979
TCGA-IB-7645-01A-22R-2204-07	C3	0.589847644173209	0.699963644869192	0.35087149649212
TCGA-IB-7646-01A-11R-2156-07	C3	0.128574761658927	0.217846174775236	0.0126585060731185
TCGA-IB-7647-01A-11R-2156-07	C3	1.56437327754643	1.88006062910267	1.44851603911194
TCGA-IB-7649-01A-11R-2156-07	C3	-0.619251062289549	-0.375015314233577	-0.550245516240317
TCGA-IB-7651-01A-11R-2156-07	C3	1.36706370215482	1.55903404844082	1.42385424576083
TCGA-IB-7652-01A-11R-2156-07	C3	1.45658671178496	1.64846561378851	1.27530413010303
TCGA-IB-7654-01A-11R-2156-07	C3	0.950964077601349	1.19062231420238	0.557028722373376
TCGA-IB-7885-01A-11R-2156-07	C3	0.858900108551193	1.17277266148022	0.650886676823244
TCGA-IB-7886-01A-11R-2156-07	C3	1.01655359221875	0.933310039247712	0.553170161618631
TCGA-IB-7887-01A-11R-2156-07	C1	0.854672878509963	0.985867620307727	0.843230181421342
TCGA-IB-7888-01A-11R-2156-07	C3	-0.11716594536018	0.097435619539396	-0.267247831895187
TCGA-IB-7889-01A-11R-2156-07	C1	0.721892585863099	0.937138351152263	0.281220442733726
TCGA-IB-7890-01A-12R-2204-07	C3	-0.241538485011487	0.121205261757266	-0.328711778547112
TCGA-IB-7891-01A-11R-2204-07	C3	0.667863174086558	0.453078630667192	0.270424699388743
TCGA-IB-7893-01A-11R-2204-07	C3	0.857385236050055	1.05120798933514	0.357973825046262
TCGA-IB-7897-01A-21R-2204-07	C3	0.969884521947648	0.68464914024687	0.507264778553384
TCGA-IB-8126-01A-11R-2404-07	C3	-0.0819983972899614	-0.777486593013055	-0.648707825105061
TCGA-IB-8127-01A-11R-2404-07	C3	1.71609416887753	1.62890706412588	1.3009109384471
TCGA-IB-A5SO-01A-11R-A32O-07	C1	0.355284871992674	0.550545302643552	0.496998982700707
TCGA-IB-A5SP-01A-11R-A32O-07	C1	-0.0444625974719919	0.177428142321792	0.206394956387281
TCGA-IB-A5SQ-01A-11R-A32O-07	C1	-0.0902821694703528	-0.056890436371144	0.23229160698338
