sample_id	cluster	subtype_label	MCD_overall_score	ferroptosis	cuproptosis	disulfidptosis
TCGA-3A-A9IS-01A-21R-A39D-07	C2	MCD-low	-0.36458724133536	-0.460584587873068	0.239720520716609	-0.87289765684962
TCGA-3A-A9IU-01A-11R-A39D-07	C1	MCD-intermediate	0.128183158077413	-0.0209860087837575	0.136325608440923	0.269209874575074
TCGA-3A-A9IV-01A-11R-A41B-07	C2	MCD-low	-0.621393643491189	-0.467427764638318	-0.428711352570276	-0.968041813264973
TCGA-3A-A9IX-01A-11R-A41B-07	C3	MCD-high	0.328431717191106	0.234832657669237	0.496554928922398	0.253907564981684
TCGA-3A-A9IZ-01A-12R-A41B-07	C2	MCD-low	-0.7118962686877	-0.576619247898142	-1.1526519294724	-0.406417628692558
TCGA-3A-A9J0-01A-11R-A41B-07	C1	MCD-intermediate	-0.0986333358468718	0.144666591446085	-0.537847041826047	0.0972804428393467
TCGA-3E-AAAY-01A-11R-A38C-07	C1	MCD-intermediate	0.244172046123732	0.261565094187066	0.436473103560952	0.0344779406231776
TCGA-3E-AAAZ-01A-11R-A38C-07	C1	MCD-intermediate	0.645780309876796	0.404085566760705	0.830710057826178	0.702545305043504
TCGA-F2-6879-01A-11R-2156-07	C3	MCD-high	1.20063610327607	1.00599093605698	1.17219876440889	1.42371860936234
TCGA-F2-6880-01A-11R-2156-07	C2	MCD-low	-2.08137935029204	-2.27084100384924	-1.73168884119742	-2.24160820582945
TCGA-F2-7273-01A-11R-2156-07	C3	MCD-high	1.15043210962392	0.945242795453292	1.40212812328496	1.10392541013352
TCGA-F2-7276-01A-11R-2156-07	C3	MCD-high	0.825773628831327	0.60996375223894	1.10431125198665	0.763045882268392
TCGA-F2-A44G-01A-11R-A26U-07	C1	MCD-intermediate	-0.0923160605054557	-0.124513019729672	-0.189243914342551	0.0368087525558558
TCGA-F2-A44H-01A-11R-A26U-07	C2	MCD-low	-1.68485147290315	-1.47374136216545	-1.71118710440927	-1.86962595213472
TCGA-F2-A7TX-01A-33R-A38C-07	C3	MCD-high	0.461921759242003	0.438870384205645	0.485106369666959	0.461788523853405
TCGA-F2-A8YN-01A-11R-A37L-07	C2	MCD-low	0.309693463624035	0.319191005077162	0.233823120744044	0.376066265050899
TCGA-FB-A4P5-01A-11R-A26U-07	C2	MCD-low	-0.983328791357173	-0.814169046736839	-1.04016293846245	-1.09565438887223
TCGA-FB-A4P6-01A-12R-A26U-07	C3	MCD-high	-0.812075265781987	-0.817157658391209	-0.761593761073884	-0.857474377880868
TCGA-FB-A545-01A-11R-A26U-07	C1	MCD-intermediate	-0.96680249334547	-1.11939756076133	-1.23519104848413	-0.545818870790949
TCGA-FB-A5VM-01A-11R-A32O-07	C1	MCD-intermediate	-0.049436166622049	0.432862988245706	-0.383724042790715	-0.197447445321138
TCGA-FB-A78T-01A-12R-A32O-07	C1	MCD-intermediate	0.17785653144704	0.251591707695143	0.092975842304058	0.18900204434192
TCGA-FB-A7DR-01A-21R-A33R-07	C1	MCD-intermediate	0.219870123787056	0.364792148747517	0.082286948628201	0.212531273985451
TCGA-FB-AAPP-01A-12R-A41B-07	C1	MCD-intermediate	-0.764086564124905	-0.883435247285846	-0.592506169605564	-0.816318275483306
TCGA-FB-AAPQ-01A-11R-A41B-07	C2	MCD-low	-1.12450793633845	-0.913857460458193	-1.65672134658592	-0.802945001971246
TCGA-FB-AAPS-01A-12R-A39D-07	C1	MCD-intermediate	-0.781326640156609	-0.674068866642597	-1.00976392251283	-0.6601471313144
TCGA-FB-AAPU-01A-31R-A41B-07	C1	MCD-intermediate	0.340844451286628	0.37798620101092	0.271890562332123	0.37265659051684
TCGA-FB-AAPY-01A-11R-A41B-07	C1	MCD-intermediate	-0.269574356810813	-0.0428414217978463	-0.372981203894743	-0.392900444739851
TCGA-FB-AAPZ-01A-11R-A41B-07	C1	MCD-intermediate	-0.681626787007378	-0.502481551685114	-1.11871540009947	-0.423683409237551
TCGA-FB-AAQ0-01A-31R-A41B-07	C1	MCD-intermediate	-0.364598007206329	-0.369357122587497	-0.596201991002379	-0.128234908029112
TCGA-FB-AAQ1-01A-12R-A41B-07	C1	MCD-intermediate	0.117954639919831	0.251865054216617	0.0645289697433632	0.0374698957995114
TCGA-FB-AAQ2-01A-31R-A41B-07	C2	MCD-low	0.396207288235287	0.410368631517152	0.423244521473706	0.355008711715002
TCGA-FB-AAQ3-01A-11R-A41B-07	C1	MCD-intermediate	-0.610324460919542	-0.645646804653542	-0.444185321635429	-0.741141256469656
TCGA-FB-AAQ6-01A-11R-A41B-07	C2	MCD-low	-1.24021082533963	-0.962097837264686	-1.45961649727175	-1.29891814148244
TCGA-H6-8124-01A-11R-2404-07	C3	MCD-high	0.568923649389053	0.222741084453998	0.739601544142326	0.744428319570835
TCGA-H6-A45N-01A-11R-A26U-07	C2	MCD-low	-1.00824201241236	-0.969805525093298	-1.15059397309032	-0.90432653905346
TCGA-H8-A6C1-01A-11R-A32O-07	C1	MCD-intermediate	-0.133962026771991	-0.100782764152031	-0.0320318490004553	-0.269071467163487
TCGA-HV-A5A3-01A-11R-A26U-07	C1	MCD-intermediate	-0.881420757876904	-0.682848356722203	-1.38678082454611	-0.574633092362399
TCGA-HV-A5A4-01A-11R-A26U-07	C1	MCD-intermediate	-0.445128848788912	-0.522436692436058	-0.319362752614345	-0.493587101316333
TCGA-HV-A5A5-01A-11R-A26U-07	C3	MCD-high	-0.291828950644588	-0.170962233891483	-0.345147259752865	-0.359377358289417
TCGA-HV-A5A6-01A-11R-A26U-07	C1	MCD-intermediate	-0.136675568361408	-0.360249200864412	-0.197016171928006	0.147238667708195
TCGA-HV-A7OL-01A-11R-A33R-07	C1	MCD-intermediate	-0.598500621857661	-0.367015593179847	-0.731720940057403	-0.696765332335734
