initialSampleSize	gxe	gxg	snpCount	imputed	pooled	accessionId	fullPvalueSet	userRequested	diseaseTrait.trait	replicationSampleSize	publicationInfo.pubmedId	publicationInfo.publicationDate	publicationInfo.publication	publicationInfo.title	qualifier	cohort	studyDesignComment	trait_id	trait_label	study_accession	title	first_author	pubmed_id	reported_trait	initial_sample	replication_sample	searchable_text	score_strong	score_support	score_pmid	score_europe	score_total	metadata_complete
"4,616 African American or Afro-Caribbean cases, 115,057 African American or Afro-Caribbean controls"	"FALSE"	"FALSE"	"44300000"	"TRUE"	"FALSE"	"GCST90478482"	"TRUE"	NA	"Diseases of pancreas (PheCode 577)"	"NA"	"39024449"	"2024-07-19"	"Science"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	NA	"MVP"	NA	"EFO_0009605"	"pancreas disease"	"GCST90478482"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	"Verma A"	"39024449"	"Diseases of pancreas (PheCode 577)"	"4,616 African American or Afro-Caribbean cases, 115,057 African American or Afro-Caribbean controls"	NA	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program. | Diseases of pancreas (PheCode 577) | pancreas disease | Verma A | 4,616 African American or Afro-Caribbean cases, 115,057 African American or Afro-Caribbean controls | "	0	2	0	0	2	TRUE
"525 Sub-Saharan African ancestry individuals"	"FALSE"	"FALSE"	"15800632"	"TRUE"	"FALSE"	"GCST90649209"	"TRUE"	NA	"RNASE1 levels"	"NA"	"41507467"	"2026-01-08"	"Nat Genet"	"Linking the plasma proteome to genetics in individuals from continental Africa provides insights into type 2 diabetes pathogenesis."	NA	"UGR"	NA	"OBA_2043280"	"level of ribonuclease pancreatic in blood serum"	"GCST90649209"	"Linking the plasma proteome to genetics in individuals from continental Africa provides insights into type 2 diabetes pathogenesis."	"Soremekun O"	"41507467"	"RNASE1 levels"	"525 Sub-Saharan African ancestry individuals"	NA	"Linking the plasma proteome to genetics in individuals from continental Africa provides insights into type 2 diabetes pathogenesis. | RNASE1 levels | level of ribonuclease pancreatic in blood serum | Soremekun O | 525 Sub-Saharan African ancestry individuals | "	0	2	0	0	2	TRUE
"525 Sub-Saharan African ancestry individuals"	"FALSE"	"FALSE"	"15800632"	"TRUE"	"FALSE"	"GCST90649833"	"TRUE"	NA	"GP2 levels"	"NA"	"41507467"	"2026-01-08"	"Nat Genet"	"Linking the plasma proteome to genetics in individuals from continental Africa provides insights into type 2 diabetes pathogenesis."	NA	"UGR"	NA	"OBA_2051450"	"level of pancreatic secretory granule membrane major glycoprotein GP2 in blood"	"GCST90649833"	"Linking the plasma proteome to genetics in individuals from continental Africa provides insights into type 2 diabetes pathogenesis."	"Soremekun O"	"41507467"	"GP2 levels"	"525 Sub-Saharan African ancestry individuals"	NA	"Linking the plasma proteome to genetics in individuals from continental Africa provides insights into type 2 diabetes pathogenesis. | GP2 levels | level of pancreatic secretory granule membrane major glycoprotein GP2 in blood | Soremekun O | 525 Sub-Saharan African ancestry individuals | "	0	2	0	0	2	TRUE
"525 Sub-Saharan African ancestry individuals"	"FALSE"	"FALSE"	"15800632"	"TRUE"	"FALSE"	"GCST90650367"	"TRUE"	NA	"PNLIPRP2 levels"	"NA"	"41507467"	"2026-01-08"	"Nat Genet"	"Linking the plasma proteome to genetics in individuals from continental Africa provides insights into type 2 diabetes pathogenesis."	NA	"UGR"	NA	"OBA_2042950"	"level of pancreatic lipase-related protein 2 in blood serum"	"GCST90650367"	"Linking the plasma proteome to genetics in individuals from continental Africa provides insights into type 2 diabetes pathogenesis."	"Soremekun O"	"41507467"	"PNLIPRP2 levels"	"525 Sub-Saharan African ancestry individuals"	NA	"Linking the plasma proteome to genetics in individuals from continental Africa provides insights into type 2 diabetes pathogenesis. | PNLIPRP2 levels | level of pancreatic lipase-related protein 2 in blood serum | Soremekun O | 525 Sub-Saharan African ancestry individuals | "	0	2	0	0	2	TRUE
"2,151 Han Taiwanese ancestry cases, 234,326 Han Taiwanese ancestry controls"	"FALSE"	"FALSE"	"14181206"	"TRUE"	"FALSE"	"GCST90651267"	"FALSE"	NA	"Diseases of pancreas (PheCode 577)"	"NA"	"40465716"	"2025-06-04"	"Sci Adv"	"Diversity and longitudinal records: Genetic architecture of disease associations and polygenic risk in the Taiwanese Han population."	NA	"CMUH"	NA	"EFO_0009605"	"pancreas disease"	"GCST90651267"	"Diversity and longitudinal records: Genetic architecture of disease associations and polygenic risk in the Taiwanese Han population."	"Liu TY"	"40465716"	"Diseases of pancreas (PheCode 577)"	"2,151 Han Taiwanese ancestry cases, 234,326 Han Taiwanese ancestry controls"	NA	"Diversity and longitudinal records: Genetic architecture of disease associations and polygenic risk in the Taiwanese Han population. | Diseases of pancreas (PheCode 577) | pancreas disease | Liu TY | 2,151 Han Taiwanese ancestry cases, 234,326 Han Taiwanese ancestry controls | "	0	2	0	0	2	TRUE
"676 European ancestry cases, 4,507 European ancestry controls"	"FALSE"	"FALSE"	"625739"	"FALSE"	"FALSE"	"GCST001741"	"FALSE"	"FALSE"	"Pancreatitis"	"910 European ancestry cases, 4,170 European ancestry controls"	"23143602"	"2012-11-11"	"Nat Genet"	"Common genetic variants in the CLDN2 and PRSS1-PRSS2 loci alter risk for alcohol-related and sporadic pancreatitis."	NA	NA	NA	"EFO_0000278"	"pancreatitis"	"GCST001741"	"Common genetic variants in the CLDN2 and PRSS1-PRSS2 loci alter risk for alcohol-related and sporadic pancreatitis."	"Whitcomb DC"	"23143602"	"Pancreatitis"	"676 European ancestry cases, 4,507 European ancestry controls"	NA	"Common genetic variants in the CLDN2 and PRSS1-PRSS2 loci alter risk for alcohol-related and sporadic pancreatitis. | Pancreatitis | pancreatitis | Whitcomb DC | 676 European ancestry cases, 4,507 European ancestry controls | "	0	0	0	1	1	TRUE
"172 European ancestry cases, 2,035 European ancestry controls"	"FALSE"	"FALSE"	"2819700"	"TRUE"	"FALSE"	"GCST002607"	"FALSE"	"FALSE"	"Response to thiopurine immunosuppressants in inflammatory bowel disease (pancreatitis) (azathioprine and mercaptopurine)"	"78 European ancestry cases, 472 controls"	"25217962"	"2014-09-14"	"Nat Genet"	"HLA-DQA1-HLA-DRB1 variants confer susceptibility to pancreatitis induced by thiopurine immunosuppressants."	NA	NA	NA	"EFO_0006315"	"thiopurine immunosuppressant-induced pancreatitis"	"GCST002607"	"HLA-DQA1-HLA-DRB1 variants confer susceptibility to pancreatitis induced by thiopurine immunosuppressants."	"Heap GA"	"25217962"	"Response to thiopurine immunosuppressants in inflammatory bowel disease (pancreatitis) (azathioprine and mercaptopurine)"	"172 European ancestry cases, 2,035 European ancestry controls"	NA	"HLA-DQA1-HLA-DRB1 variants confer susceptibility to pancreatitis induced by thiopurine immunosuppressants. | Response to thiopurine immunosuppressants in inflammatory bowel disease (pancreatitis) (azathioprine and mercaptopurine) | thiopurine immunosuppressant-induced pancreatitis | Heap GA | 172 European ancestry cases, 2,035 European ancestry controls | "	0	0	0	1	1	TRUE
"46 European ancestry cases with pancreatitis, 3,023 European ancestry cases without pancreatitis, 11 Black cases with pancreatitis, 339 Black cases without pancreatitis, 46 Hispanic cases with pancreatitis, 1,131 Hispanic cases without pancreatitis, 1 Asian ancestry case with pancreatitis, 98 Asian ancestry cases without pancreatitis, 13 cases with with pancreatitis, 477 cases without pancreatitis"	"FALSE"	"FALSE"	"751455"	"FALSE"	"FALSE"	"GCST003501"	"FALSE"	"FALSE"	"Asparaginase-induced acute pancreatitis in acute lymphoblastic leukemia (onset time)"	"NA"	"27114598"	"2016-04-25"	"J Clin Oncol"	"Clinical and Genetic Risk Factors for Acute Pancreatitis in Patients With Acute Lymphoblastic Leukemia."	"at least"	NA	NA	"EFO_1001507"	"Asparaginase-induced acute pancreatitis"	"GCST003501"	"Clinical and Genetic Risk Factors for Acute Pancreatitis in Patients With Acute Lymphoblastic Leukemia."	"Liu C"	"27114598"	"Asparaginase-induced acute pancreatitis in acute lymphoblastic leukemia (onset time)"	"46 European ancestry cases with pancreatitis, 3,023 European ancestry cases without pancreatitis, 11 Black cases with pancreatitis, 339 Black cases without pancreatitis, 46 Hispanic cases with pancreatitis, 1,131 Hispanic cases without pancreatitis, 1 Asian ancestry case with pancreatitis, 98 Asian ancestry cases without pancreatitis, 13 cases with with pancreatitis, 477 cases without pancreatitis"	NA	"Clinical and Genetic Risk Factors for Acute Pancreatitis in Patients With Acute Lymphoblastic Leukemia. | Asparaginase-induced acute pancreatitis in acute lymphoblastic leukemia (onset time) | Asparaginase-induced acute pancreatitis | Liu C | 46 European ancestry cases with pancreatitis, 3,023 European ancestry cases without pancreatitis, 11 Black cases with pancreatitis, 339 Black cases without pancreatitis, 46 Hispanic cases with pancreatitis, 1,131 Hispanic cases without pancreatitis, 1 Asian ancestry case with pancreatitis, 98 Asian ancestry cases without pancreatitis, 13 cases with with pancreatitis, 477 cases without pancreatitis | "	0	0	0	1	1	TRUE
"1,110 German ancestry cases with chronic alcoholic pancreatitis, 400 European ancestry cases with alcohol-related liver cirrhosis, 1,750 German ancestry controls"	"FALSE"	"FALSE"	"194024"	"FALSE"	"FALSE"	"GCST004755"	"FALSE"	"FALSE"	"Chronic alcoholic pancreatitis or alcohol-related cirrhosis"	"NA"	"28714907"	"2017-07-17"	"Genes (Basel)"	"Genetic Contribution to Alcohol Dependence: Investigation of a Heterogeneous German Sample of Individuals with Alcohol Dependence, Chronic Alcoholic Pancreatitis, and Alcohol-Related Cirrhosis."	NA	NA	NA	"EFO_1002013"	"alcoholic pancreatitis"	"GCST004755"	"Genetic Contribution to Alcohol Dependence: Investigation of a Heterogeneous German Sample of Individuals with Alcohol Dependence, Chronic Alcoholic Pancreatitis, and Alcohol-Related Cirrhosis."	"Treutlein J"	"28714907"	"Chronic alcoholic pancreatitis or alcohol-related cirrhosis"	"1,110 German ancestry cases with chronic alcoholic pancreatitis, 400 European ancestry cases with alcohol-related liver cirrhosis, 1,750 German ancestry controls"	NA	"Genetic Contribution to Alcohol Dependence: Investigation of a Heterogeneous German Sample of Individuals with Alcohol Dependence, Chronic Alcoholic Pancreatitis, and Alcohol-Related Cirrhosis. | Chronic alcoholic pancreatitis or alcohol-related cirrhosis | alcoholic pancreatitis | Treutlein J | 1,110 German ancestry cases with chronic alcoholic pancreatitis, 400 European ancestry cases with alcohol-related liver cirrhosis, 1,750 German ancestry controls | "	0	0	0	1	1	TRUE
"1,331 German ancestry alcohol dependence cases, 1,110 German ancestry cases with chronic alcoholic pancreatitis, 400 European ancestry cases with alcohol-related liver cirrhosis, 3,684 German ancestry controls"	"FALSE"	"FALSE"	"194024"	"FALSE"	"FALSE"	"GCST004757"	"FALSE"	"FALSE"	"Alcohol dependence or chronic alcoholic pancreatitis or alcohol-related liver cirrhosis"	"NA"	"28714907"	"2017-07-17"	"Genes (Basel)"	"Genetic Contribution to Alcohol Dependence: Investigation of a Heterogeneous German Sample of Individuals with Alcohol Dependence, Chronic Alcoholic Pancreatitis, and Alcohol-Related Cirrhosis."	NA	NA	NA	"EFO_1002013"	"alcoholic pancreatitis"	"GCST004757"	"Genetic Contribution to Alcohol Dependence: Investigation of a Heterogeneous German Sample of Individuals with Alcohol Dependence, Chronic Alcoholic Pancreatitis, and Alcohol-Related Cirrhosis."	"Treutlein J"	"28714907"	"Alcohol dependence or chronic alcoholic pancreatitis or alcohol-related liver cirrhosis"	"1,331 German ancestry alcohol dependence cases, 1,110 German ancestry cases with chronic alcoholic pancreatitis, 400 European ancestry cases with alcohol-related liver cirrhosis, 3,684 German ancestry controls"	NA	"Genetic Contribution to Alcohol Dependence: Investigation of a Heterogeneous German Sample of Individuals with Alcohol Dependence, Chronic Alcoholic Pancreatitis, and Alcohol-Related Cirrhosis. | Alcohol dependence or chronic alcoholic pancreatitis or alcohol-related liver cirrhosis | alcoholic pancreatitis | Treutlein J | 1,331 German ancestry alcohol dependence cases, 1,110 German ancestry cases with chronic alcoholic pancreatitis, 400 European ancestry cases with alcohol-related liver cirrhosis, 3,684 German ancestry controls | "	0	0	0	1	1	TRUE
"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls"	"FALSE"	"FALSE"	"9389922"	"TRUE"	"FALSE"	"GCST004860"	"FALSE"	"FALSE"	"Alcoholic chronic pancreatitis"	"NA"	"28754779"	"2017-07-28"	"Gut"	"Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis."	NA	NA	NA	"EFO_1002013"	"alcoholic pancreatitis"	"GCST004860"	"Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis."	"Rosendahl J"	"28754779"	"Alcoholic chronic pancreatitis"	"1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls"	NA	"Genome-wide association study identifies inversion in the CTRB1-CTRB2 locus to modify risk for alcoholic and non-alcoholic chronic pancreatitis. | Alcoholic chronic pancreatitis | alcoholic pancreatitis | Rosendahl J | 1,959 European ancestry cases, 1,488 European ancestry alcohol abuse controls, 4,552 European ancestry controls | "	0	0	0	1	1	TRUE
"3,798 European ancestry cases, 476,104 European ancestry controls, 827 East Asian ancestry cases, 177,471 East Asian ancestry controls"	"FALSE"	"FALSE"	"25843473"	"TRUE"	"FALSE"	"GCST90018789"	"TRUE"	"FALSE"	"Acute pancreatitis"	"NA"	"34594039"	"2021-09-30"	"Nat Genet"	"A cross-population atlas of genetic associations for 220 human phenotypes."	NA	"BBJ|UKB|FinnGen"	NA	"EFO_0000278"	"pancreatitis"	"GCST90018789"	"A cross-population atlas of genetic associations for 220 human phenotypes."	"Sakaue S"	"34594039"	"Acute pancreatitis"	"3,798 European ancestry cases, 476,104 European ancestry controls, 827 East Asian ancestry cases, 177,471 East Asian ancestry controls"	NA	"A cross-population atlas of genetic associations for 220 human phenotypes. | Acute pancreatitis | pancreatitis | Sakaue S | 3,798 European ancestry cases, 476,104 European ancestry controls, 827 East Asian ancestry cases, 177,471 East Asian ancestry controls | "	0	0	0	1	1	TRUE
"1,424 European ancestry cases, 476,104 European ancestry controls, 457 East Asian ancestry cases, 177,471 East Asian ancestry controls"	"FALSE"	"FALSE"	"25843262"	"TRUE"	"FALSE"	"GCST90018821"	"TRUE"	"FALSE"	"Chronic pancreatitis"	"NA"	"34594039"	"2021-09-30"	"Nat Genet"	"A cross-population atlas of genetic associations for 220 human phenotypes."	NA	"BBJ|UKB|FinnGen"	NA	"EFO_0000278"	"pancreatitis"	"GCST90018821"	"A cross-population atlas of genetic associations for 220 human phenotypes."	"Sakaue S"	"34594039"	"Chronic pancreatitis"	"1,424 European ancestry cases, 476,104 European ancestry controls, 457 East Asian ancestry cases, 177,471 East Asian ancestry controls"	NA	"A cross-population atlas of genetic associations for 220 human phenotypes. | Chronic pancreatitis | pancreatitis | Sakaue S | 1,424 European ancestry cases, 476,104 European ancestry controls, 457 East Asian ancestry cases, 177,471 East Asian ancestry controls | "	0	0	0	1	1	TRUE
"1,748 European ancestry cases, 454,600 European ancestry controls"	"FALSE"	"FALSE"	"11842647"	"TRUE"	"FALSE"	"GCST90044204"	"TRUE"	"FALSE"	"Acute pancreatitis (PheCode 577.1)"	"NA"	"34737426"	"2021-11-04"	"Nat Genet"	"A generalized linear mixed model association tool for biobank-scale data. "	NA	"UKB"	NA	"EFO_1000652"	"acute pancreatitis"	"GCST90044204"	"A generalized linear mixed model association tool for biobank-scale data. "	"Jiang L"	"34737426"	"Acute pancreatitis (PheCode 577.1)"	"1,748 European ancestry cases, 454,600 European ancestry controls"	NA	"A generalized linear mixed model association tool for biobank-scale data.  | Acute pancreatitis (PheCode 577.1) | acute pancreatitis | Jiang L | 1,748 European ancestry cases, 454,600 European ancestry controls | "	0	0	0	1	1	TRUE
"322 European ancestry cases, 456,026 European ancestry controls"	"FALSE"	"FALSE"	"11842647"	"TRUE"	"FALSE"	"GCST90044205"	"TRUE"	"FALSE"	"Chronic pancreatitis (PheCode 577.2)"	"NA"	"34737426"	"2021-11-04"	"Nat Genet"	"A generalized linear mixed model association tool for biobank-scale data. "	NA	"UKB"	NA	"EFO_0000342"	"chronic pancreatitis"	"GCST90044205"	"A generalized linear mixed model association tool for biobank-scale data. "	"Jiang L"	"34737426"	"Chronic pancreatitis (PheCode 577.2)"	"322 European ancestry cases, 456,026 European ancestry controls"	NA	"A generalized linear mixed model association tool for biobank-scale data.  | Chronic pancreatitis (PheCode 577.2) | chronic pancreatitis | Jiang L | 322 European ancestry cases, 456,026 European ancestry controls | "	0	0	0	1	1	TRUE
"980 European ancestry cases, 330,774 European ancestry controls"	NA	"FALSE"	"458873"	"FALSE"	NA	"GCST90077706"	"TRUE"	NA	"Pancreatitis"	"NA"	"34662886"	"2021-10-18"	"Nature"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	NA	"UKB"	"UK Biobank/UK BiLEVE Axiom Array"	"EFO_0000278"	"pancreatitis"	"GCST90077706"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	"Backman JD"	"34662886"	"Pancreatitis"	"980 European ancestry cases, 330,774 European ancestry controls"	NA	"Exome sequencing and analysis of 454,787 UK Biobank participants.  | Pancreatitis | pancreatitis | Backman JD | 980 European ancestry cases, 330,774 European ancestry controls | "	0	0	0	1	1	TRUE
"868 European ancestry cases, 328,184 European ancestry controls"	NA	"FALSE"	"456275"	"FALSE"	NA	"GCST90077707"	"TRUE"	NA	"ICD10 K85: pancreatitis"	"NA"	"34662886"	"2021-10-18"	"Nature"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	NA	"UKB"	"UK Biobank/UK BiLEVE Axiom Array"	"EFO_0000278"	"pancreatitis"	"GCST90077707"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	"Backman JD"	"34662886"	"ICD10 K85: pancreatitis"	"868 European ancestry cases, 328,184 European ancestry controls"	NA	"Exome sequencing and analysis of 454,787 UK Biobank participants.  | ICD10 K85: pancreatitis | pancreatitis | Backman JD | 868 European ancestry cases, 328,184 European ancestry controls | "	0	0	0	1	1	TRUE
"708 European ancestry cases, 387,020 European ancestry controls"	NA	"FALSE"	"510502"	"FALSE"	NA	"GCST90080309"	"TRUE"	NA	"ICD10 K85.9: Acute pancreatitis, unspecified"	"NA"	"34662886"	"2021-10-18"	"Nature"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	NA	"UKB"	"UK Biobank/UK BiLEVE Axiom Array"	"EFO_1000652"	"acute pancreatitis"	"GCST90080309"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	"Backman JD"	"34662886"	"ICD10 K85.9: Acute pancreatitis, unspecified"	"708 European ancestry cases, 387,020 European ancestry controls"	NA	"Exome sequencing and analysis of 454,787 UK Biobank participants.  | ICD10 K85.9: Acute pancreatitis, unspecified | acute pancreatitis | Backman JD | 708 European ancestry cases, 387,020 European ancestry controls | "	0	0	0	1	1	TRUE
"2,460 European ancestry cases, 385,091 European ancestry controls"	NA	"FALSE"	"510338"	"FALSE"	NA	"GCST90080310"	"TRUE"	NA	"ICD10 K85: Acute pancreatitis"	"NA"	"34662886"	"2021-10-18"	"Nature"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	NA	"UKB"	"UK Biobank/UK BiLEVE Axiom Array"	"EFO_1000652"	"acute pancreatitis"	"GCST90080310"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	"Backman JD"	"34662886"	"ICD10 K85: Acute pancreatitis"	"2,460 European ancestry cases, 385,091 European ancestry controls"	NA	"Exome sequencing and analysis of 454,787 UK Biobank participants.  | ICD10 K85: Acute pancreatitis | acute pancreatitis | Backman JD | 2,460 European ancestry cases, 385,091 European ancestry controls | "	0	0	0	1	1	TRUE
"535 European ancestry cases, 387,394 European ancestry controls"	NA	"FALSE"	"510686"	"FALSE"	NA	"GCST90080311"	"TRUE"	NA	"ICD10 K86.1: Other chronic pancreatitis"	"NA"	"34662886"	"2021-10-18"	"Nature"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	NA	"UKB"	"UK Biobank/UK BiLEVE Axiom Array"	"EFO_0000342"	"chronic pancreatitis"	"GCST90080311"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	"Backman JD"	"34662886"	"ICD10 K86.1: Other chronic pancreatitis"	"535 European ancestry cases, 387,394 European ancestry controls"	NA	"Exome sequencing and analysis of 454,787 UK Biobank participants.  | ICD10 K86.1: Other chronic pancreatitis | chronic pancreatitis | Backman JD | 535 European ancestry cases, 387,394 European ancestry controls | "	0	0	0	1	1	TRUE
"980 European ancestry cases, 330,774 European ancestry controls"	NA	"FALSE"	"184201"	"FALSE"	NA	"GCST90081692"	"TRUE"	NA	"Pancreatitis (Gene-based burden)"	"NA"	"34662886"	"2021-10-18"	"Nature"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	NA	"UKB"	NA	"EFO_0000278"	"pancreatitis"	"GCST90081692"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	"Backman JD"	"34662886"	"Pancreatitis (Gene-based burden)"	"980 European ancestry cases, 330,774 European ancestry controls"	NA	"Exome sequencing and analysis of 454,787 UK Biobank participants.  | Pancreatitis (Gene-based burden) | pancreatitis | Backman JD | 980 European ancestry cases, 330,774 European ancestry controls | "	0	0	0	1	1	TRUE
"868 European ancestry cases, 328,184 European ancestry controls"	NA	"FALSE"	"184145"	"FALSE"	NA	"GCST90081693"	"TRUE"	NA	"ICD10 K85: pancreatitis (Gene-based burden)"	"NA"	"34662886"	"2021-10-18"	"Nature"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	NA	"UKB"	NA	"EFO_0000278"	"pancreatitis"	"GCST90081693"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	"Backman JD"	"34662886"	"ICD10 K85: pancreatitis (Gene-based burden)"	"868 European ancestry cases, 328,184 European ancestry controls"	NA	"Exome sequencing and analysis of 454,787 UK Biobank participants.  | ICD10 K85: pancreatitis (Gene-based burden) | pancreatitis | Backman JD | 868 European ancestry cases, 328,184 European ancestry controls | "	0	0	0	1	1	TRUE
"708 European ancestry cases, 387,020 European ancestry controls"	NA	"FALSE"	"185341"	"FALSE"	NA	"GCST90084295"	"TRUE"	NA	"ICD10 K85.9: Acute pancreatitis, unspecified (Gene-based burden)"	"NA"	"34662886"	"2021-10-18"	"Nature"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	NA	"UKB"	NA	"EFO_1000652"	"acute pancreatitis"	"GCST90084295"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	"Backman JD"	"34662886"	"ICD10 K85.9: Acute pancreatitis, unspecified (Gene-based burden)"	"708 European ancestry cases, 387,020 European ancestry controls"	NA	"Exome sequencing and analysis of 454,787 UK Biobank participants.  | ICD10 K85.9: Acute pancreatitis, unspecified (Gene-based burden) | acute pancreatitis | Backman JD | 708 European ancestry cases, 387,020 European ancestry controls | "	0	0	0	1	1	TRUE
"2,460 European ancestry cases, 385,091 European ancestry controls"	NA	"FALSE"	"185339"	"FALSE"	NA	"GCST90084296"	"TRUE"	NA	"ICD10 K85: Acute pancreatitis (Gene-based burden)"	"NA"	"34662886"	"2021-10-18"	"Nature"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	NA	"UKB"	NA	"EFO_1000652"	"acute pancreatitis"	"GCST90084296"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	"Backman JD"	"34662886"	"ICD10 K85: Acute pancreatitis (Gene-based burden)"	"2,460 European ancestry cases, 385,091 European ancestry controls"	NA	"Exome sequencing and analysis of 454,787 UK Biobank participants.  | ICD10 K85: Acute pancreatitis (Gene-based burden) | acute pancreatitis | Backman JD | 2,460 European ancestry cases, 385,091 European ancestry controls | "	0	0	0	1	1	TRUE
"535 European ancestry cases, 387,394 European ancestry controls"	NA	"FALSE"	"185344"	"FALSE"	NA	"GCST90084297"	"TRUE"	NA	"ICD10 K86.1: Other chronic pancreatitis (Gene-based burden)"	"NA"	"34662886"	"2021-10-18"	"Nature"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	NA	"UKB"	NA	"EFO_0000342"	"chronic pancreatitis"	"GCST90084297"	"Exome sequencing and analysis of 454,787 UK Biobank participants. "	"Backman JD"	"34662886"	"ICD10 K86.1: Other chronic pancreatitis (Gene-based burden)"	"535 European ancestry cases, 387,394 European ancestry controls"	NA	"Exome sequencing and analysis of 454,787 UK Biobank participants.  | ICD10 K86.1: Other chronic pancreatitis (Gene-based burden) | chronic pancreatitis | Backman JD | 535 European ancestry cases, 387,394 European ancestry controls | "	0	0	0	1	1	TRUE
"10,630 European ancestry cases, 844,679 European ancestry controls"	"FALSE"	"FALSE"	"9570209"	"TRUE"	"FALSE"	"GCST90255375"	"TRUE"	NA	"Acute pancreatitis"	"NA"	"36736436"	"2023-01-31"	"Gastroenterology"	"Proteome-wide Mendelian randomization identifies causal links between blood proteins and acute pancreatitis."	NA	"UKB|FinnGen|EB"	NA	"EFO_1000652"	"acute pancreatitis"	"GCST90255375"	"Proteome-wide Mendelian randomization identifies causal links between blood proteins and acute pancreatitis."	"Bourgault J"	"36736436"	"Acute pancreatitis"	"10,630 European ancestry cases, 844,679 European ancestry controls"	NA	"Proteome-wide Mendelian randomization identifies causal links between blood proteins and acute pancreatitis. | Acute pancreatitis | acute pancreatitis | Bourgault J | 10,630 European ancestry cases, 844,679 European ancestry controls | "	0	0	0	1	1	TRUE
"4,688 Non-Finnish European ancestry cases, 453,752 Non-Finnish European ancestry controls"	"FALSE"	"FALSE"	"102304434"	"FALSE"	"FALSE"	"GCST90473884"	"TRUE"	NA	"ICD10 K85: Acute pancreatitis"	"NA"	"40770095"	"2025-08-06"	"Nature"	"Whole-genome sequencing of 490,640 UK Biobank participants."	NA	"UKB"	NA	"EFO_0000278"	"pancreatitis"	"GCST90473884"	"Whole-genome sequencing of 490,640 UK Biobank participants."	"UK Biobank Whole-Genome Sequencing Consortium"	"40770095"	"ICD10 K85: Acute pancreatitis"	"4,688 Non-Finnish European ancestry cases, 453,752 Non-Finnish European ancestry controls"	NA	"Whole-genome sequencing of 490,640 UK Biobank participants. | ICD10 K85: Acute pancreatitis | pancreatitis | UK Biobank Whole-Genome Sequencing Consortium | 4,688 Non-Finnish European ancestry cases, 453,752 Non-Finnish European ancestry controls | "	0	0	0	1	1	TRUE
"7,613 European ancestry cases, 439,644 European ancestry controls"	"FALSE"	"FALSE"	"44300000"	"TRUE"	"FALSE"	"GCST90476106"	"TRUE"	NA	"Acute pancreatitis (PheCode 577.1)"	"NA"	"39024449"	"2024-07-19"	"Science"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	NA	"MVP"	NA	"EFO_1000652"	"acute pancreatitis"	"GCST90476106"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	"Verma A"	"39024449"	"Acute pancreatitis (PheCode 577.1)"	"7,613 European ancestry cases, 439,644 European ancestry controls"	NA	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program. | Acute pancreatitis (PheCode 577.1) | acute pancreatitis | Verma A | 7,613 European ancestry cases, 439,644 European ancestry controls | "	0	0	0	1	1	TRUE
