gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
GPAT2	-0.0635850402832066	1.06226199567698	-0.348558479828237	0.727833952944332	0.783711702765329	-6.37349073216464
AC009299.2	-0.0670563008787179	-2.72377367623259	-0.348348823387904	0.727991108948553	0.783844430528963	-6.06140435726597
AC006504.5	0.0309725731083446	1.61210146528691	0.34824639001206	0.728067895998447	0.783890614899311	-6.4386963892813
AVL9	0.0270936174032936	5.74293339259749	0.348132177768085	0.728153516077605	0.783946304806016	-6.98187027885412
ADRB1	-0.0753325590870167	-0.525040052016554	-0.348053356817322	0.72821260679941	0.78395023120669	-6.25075678852782
TBC1D13	0.0261794884761999	5.10265650929172	0.348036885399492	0.728224955346097	0.78395023120669	-6.96146248655171
AC007099.1	-0.108110980241444	-3.70088227942765	-0.34790182833526	0.728326209692894	0.784022740413183	-5.93360345407846
HSP90B2P	0.048934672950637	-2.27606178973465	0.347130839657252	0.728904323202036	0.784608544494866	-6.12953550508603
SKP1	-0.0210993729242004	7.14766643447628	-0.347035130787262	0.728976099821694	0.784649287321456	-6.93289855423866
DNAJB6P1	0.0385006276346076	1.6204959825349	0.346916330616494	0.729065197035269	0.784708668886435	-6.44484028955897
DENND10	-0.0207256330024781	3.51587220482725	-0.346652687734992	0.729262935908832	0.784884972855855	-6.77291412616335
CCRL2	0.057059693001869	2.93009783359687	0.345850232628335	0.729864909388609	0.785496306390868	-6.68400364699433
LYPD5	0.0527442486295036	1.64965941346288	0.345697567336343	0.729979452520981	0.785583024424422	-6.46932834939318
AC107294.3	-0.0617204425055311	-2.27404821571695	-0.345603209989789	0.730050250864818	0.785622659687396	-6.11163805936197
ZNF160	0.0277603581292025	4.67049878465604	0.345508660443535	0.730121195747547	0.78566244894846	-6.93254533163442
RNU6-529P	-0.0598345845613442	-2.93924255956095	-0.345112864178009	0.73041820520548	0.785945484786096	-6.03396924757389
TRAF3IP2	0.0265264360524569	5.05860768673316	0.34473898320335	0.730698806661554	0.786210839751962	-6.9648093470672
GADD45A	-0.0358701234887402	5.28238414486044	-0.344570542018564	0.730825235354671	0.786293879065593	-6.9734637920177
H2AC11	-0.079746931985493	-0.222542368268627	-0.344545572276256	0.730843977787663	0.786293879065593	-6.27891629608627
CORO2A	0.0688445089362357	5.73912691183899	0.344261907877802	0.731056909300283	0.786486380049165	-6.98175148937553
TPGS2	-0.0261942379821196	5.42008713850552	-0.343928941831854	0.731306875552332	0.786718704022249	-6.97963449480952
UBE2FP1	-0.0505565874760561	-1.82232367302486	-0.342631107780342	0.732281467640785	0.787705241815079	-6.17789082009637
GATA2-AS1	-0.0723079771002912	0.846453164354832	-0.342617026143386	0.732292044459789	0.787705241815079	-6.34791393313413
RARRES2	-0.0723574984778486	6.75530816545972	-0.34254142360467	0.732348830948209	0.787729688502008	-6.95698427884703
AC009242.1	-0.067077354018755	-2.54781549776853	-0.341811401038868	0.732897240617804	0.788282908478285	-6.08892600082244
HAMP	-0.0953789426901331	0.64153042314887	-0.341703663073102	0.732978187498449	0.788333311033488	-6.34455067262185
FLNB	-0.0618413805919804	8.96671407120867	-0.34152160458053	0.733114980505677	0.788443769780763	-6.81440446544518
ITGB5	-0.0473731998321458	8.25436825400447	-0.341468486279948	0.733154893531813	0.788450031507662	-6.86215443146142
AC009506.1	-0.030562336737884	0.693594907065027	-0.341054342018288	0.733466105965658	0.788729952144725	-6.34245806058548
UMPS	-0.020965887564385	4.72237964100215	-0.341031345016449	0.733483388564889	0.788729952144725	-6.94207791674491
CASC19	0.108538096572674	2.02912556117992	0.340781287270348	0.733671319583887	0.788895359121118	-6.56690877829686
AC245060.7	0.0521757746988456	-1.75239827262645	0.340705163944553	0.733728533301992	0.788920200753532	-6.16805841067089
IRX6	-0.109132169323323	-3.3495447335719	-0.340596001432586	0.733810581626021	0.78896398630607	-5.98534094905764
FTH1P2	0.0453111848095628	-0.959436474579487	0.340560212876759	0.733837481555525	0.78896398630607	-6.23759647239168
FAM3C	-0.041082957465413	5.9114706060372	-0.340499563801443	0.733883068272744	0.78897632143411	-6.98382384611899
CELF1	-0.0153671041698491	6.87716336414752	-0.340449044528834	0.7339210416728	0.788980470940249	-6.94893091392311
TAPBPL	-0.0423125192896983	5.17138096088411	-0.340349165044551	0.733996119182805	0.789024505900996	-6.97031519652863
ZNF232-AS1	-0.0609404275916466	-0.491998544298668	-0.340277027945226	0.734050344864577	0.789046122700685	-6.24821521521251
RPS10P3	-0.0585401746439063	-2.63917392196569	-0.339612644471343	0.734549826849513	0.789546330593277	-6.08456501359623
AL391422.4	-0.0405710002348489	2.48993079174752	-0.339297952167889	0.7347864513531	0.789763967231829	-6.58406767954077
CDS1	-0.0479833875186086	5.21596800233232	-0.338847472321268	0.735125221873004	0.790091367232624	-6.9761775887503
RUNDC3A	0.120858408524317	1.75117167726925	0.338640309394263	0.735281030293309	0.790222103560578	-6.43965374858802
AC093110.1	0.0722877926128411	0.0409943013228733	0.338554646492945	0.735345461061308	0.790254626802933	-6.29857697308802
ABCC6P2	0.0607369380393301	-1.65474719003789	0.338355806446134	0.735495024486648	0.79036269938849	-6.19386733997602
YWHAZ	-0.0372863862987352	9.65105766964551	-0.338330086453615	0.735514371278903	0.79036269938849	-6.77107921586006
KHDRBS1	0.0152179796722791	7.20389916825228	0.338046807776891	0.735727467046619	0.790554955298932	-6.93094914584237
SLC51A	-0.0318457465192263	1.30199692638841	-0.33769029607312	0.735995681345076	0.790758907881023	-6.40917931436256
CLCN2	0.0366214820653346	2.92714749141995	0.337638865982183	0.736034376402778	0.790758907881023	-6.66385835977815
DGLUCY	-0.0256208446394792	5.38516417283841	-0.337609719206349	0.736056306202455	0.790758907881023	-6.98069218230298
EPHX1	0.0354116230853743	6.6331466369592	0.3375728482318	0.736084047937806	0.790758907881023	-6.96304413898486
RPL5P34	0.0392082695522704	-0.827649951899408	0.337567293177342	0.736088227592985	0.790758907881023	-6.24081387601073
KCNC2	0.121128581951738	-3.53886405153971	0.337403140734722	0.736211740397409	0.790854859819381	-5.95738316520025
TG	-0.0719671210668599	-0.0021055761299332	-0.336829574768059	0.736643361137783	0.791281763800783	-6.29048872983018
