gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
MLLT10	0.231097693537521	4.58420530963498	2.98222997867192	0.00326396481300133	0.0129594812352094	-2.45668276610816
RPL5P30	-0.508742982942308	-1.68461608155327	-2.98163429946436	0.00327001380800526	0.0129812700569079	-1.93502687323915
ZNF800	0.23620608688585	4.29636432177559	2.98120036221219	0.00327442683018461	0.0129965580450506	-2.43089391189463
NXPH4	-1.02429668884305	0.208621043770923	-2.98075208099436	0.00327899147153253	0.0130124424765965	-2.01936194852279
MLLT3	0.453809022426337	4.43188210448996	2.98067884496845	0.00327973775555849	0.0130131711804009	-2.43795946781889
ITPR3	0.735546083690246	7.17444442981384	2.98048930442888	0.00328166992129519	0.0130183451122816	-2.52629753879711
AL136040.1	-0.45769985142878	-1.27889090585508	-2.98044050808777	0.00328216751771506	0.0130183451122816	-1.95405835243382
MRPS34	-0.345215783656837	5.51088645138587	-2.98018333484159	0.00328479116485735	0.0130265175001407	-2.52808432391508
ATP6V1C2	-0.698446998895034	0.446347666655339	-2.97991137083375	0.00328756780127189	0.0130352936924081	-2.00832049002794
FAM95C	-0.926044955171932	0.193271788878169	-2.97981253298855	0.00328857742753197	0.0130356701207678	-1.99821532366144
ESRP1	0.694689198128891	6.20208796515922	2.9797917265108	0.00328879000149948	0.0130356701207678	-2.53680419288481
THAP9-AS1	-0.399488282744188	4.79981159062288	-2.97960488818833	0.00329069944209077	0.0130406964588014	-2.46851093314772
STEAP3	0.849349148043242	5.38770100250005	2.97955731389161	0.00329118580205915	0.0130406964588014	-2.48442549644673
KIZ	-0.360872479492314	3.8153524645864	-2.97938529769914	0.00329294490334824	0.0130454316075091	-2.37848111848584
DARS1	0.274552495623153	6.02271309882111	2.97886128928318	0.00329830893175338	0.0130644440783683	-2.54763075700275
KHSRP	-0.221109182945543	6.9646371602389	-2.97870368892744	0.00329992378198225	0.0130686022653571	-2.53879506291814
AC079781.5	-0.646428034303108	-0.0790825683420378	-2.97828277234019	0.00330424025961627	0.0130813654757118	-1.99662488051754
SLC9A5	-0.419470587772181	0.553121279227012	-2.9782791132117	0.00330427780651628	0.0130813654757118	-2.01676630416497
AC073263.1	-0.98441310152082	-3.09750165604743	-2.97772208843642	0.0033099980993007	0.0131017689612573	-1.86703884485083
OSBPL3	0.664705231275837	5.55927745727589	2.97749315308868	0.00331235175713363	0.0131088417931189	-2.50677445748642
NAA30	0.224142918052552	4.7155629786139	2.97718664221638	0.00331550536683498	0.0131190775233806	-2.4912346768268
CT75	-0.962489077425764	-2.83113446539529	-2.97623037550532	0.00332536187494667	0.0131548476091269	-1.89540531796238
MLLT6	-0.276143986007282	7.0608161001219	-2.97619927442131	0.00332568289391928	0.0131548476091269	-2.53981497466327
ISCU	-0.250484036313592	6.21412693842538	-2.9761152644343	0.00332655016995855	0.0131560281003422	-2.5608575951081
LINC01410	-0.664536919010853	-0.458524740234409	-2.97588048497169	0.00332897501433023	0.0131633670937647	-1.9977530295433
UBE2QL1	-0.86219323270237	1.89500957087416	-2.97534431373859	0.00333451877511393	0.0131830342274932	-2.17561112849558
LIN7C	0.221701342984387	5.02107766359561	2.97521075348067	0.00333590104443045	0.0131862449761729	-2.51235119438734
TDO2	0.999617039988929	1.81094484139396	2.97485326881851	0.00333960338798247	0.0131986239161412	-2.12203712114695
HNRNPM	-0.200174426773278	7.42402961695341	-2.97455481889035	0.00334269721941749	0.0132085941039959	-2.53087854454979
HSPD1P1	0.782734249290907	-2.91764441919666	2.97428422950042	0.0033455045140886	0.0132174288352991	-1.87598359637877
NEB	1.22055923990404	2.5664665849738	2.97384239095195	0.0033500931288837	0.0132332969914299	-2.17991741864686
MEX3D	-0.369579240792712	4.42788306525551	-2.97362587747479	0.00335234379027104	0.013239926089718	-2.43629293902441
FBXO38	0.202990239089566	5.22994953072125	2.97339930779982	0.00335470047273188	0.0132469715781702	-2.53876363585657
LRRTM3	1.98001227650756	-1.03272880869883	2.97318790354089	0.00335690078288676	0.0132533972868906	-1.96168240552504
PDPR	0.393374558925359	4.77323794332479	2.97305123491124	0.00335832394467629	0.0132567530623781	-2.49032692949069
BCDIN3D-AS1	-0.576125059336672	-0.973871623970007	-2.97290538814603	0.00335984329160183	0.0132604873119739	-1.99011381260565
AC060766.1	0.524690826651941	-0.326655148717297	2.97284090328653	0.00336051525864822	0.0132608764548739	-1.9977298312027
MAP4K2	-0.412164567242702	4.29444887301716	-2.97275628635818	0.00336139719994023	0.0132616580058293	-2.45991954782116
AC090948.1	-0.570929642200035	-1.8743230412557	-2.97271188000308	0.00336186012141894	0.0132616580058293	-1.94640643270298
MOB4	0.27054722643599	4.28768289132273	2.9725398733671	0.00336365378599204	0.0132664707985034	-2.43379590864942
ERGIC1	0.32642958596094	7.74807898633819	2.97204647476585	0.00336880376430486	0.0132845172141249	-2.5229675944391
PAF1	-0.333445435661432	6.22407502345541	-2.97158907637945	0.00337358444711034	0.0133004311275193	-2.5756646269255
KCNJ15	1.52508884784947	4.92956782103043	2.9715503486311	0.00337398951163766	0.0133004311275193	-2.48188575554994
