gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
CD163	0.113927599216005	5.56643428127208	0.386828793014408	0.699346400989438	0.807150235145652	-6.45283509396647
AC018638.5	0.0660863437409693	2.63589654810616	0.386730638655665	0.699418942011741	0.807174411111676	-6.11641261263766
KIAA0513	0.0491575674963993	4.96373580283885	0.386706004118656	0.699437148611601	0.807174411111676	-6.44036862727718
ROCK1P1	0.0723822873431284	-0.44646047939918	0.386528583329624	0.69956827979953	0.807285459295655	-5.78581943599959
AC008945.2	0.119544169213083	-3.19917746141089	0.386387820004576	0.699672323991388	0.807338463259238	-5.53672572054264
AC069307.1	0.0886288557934547	-2.18571491069944	0.386339751749061	0.699707854596671	0.807338463259238	-5.64414554775124
PCDHA13	-0.128014237401159	-3.24709945345165	-0.386288313113785	0.699745877219413	0.807338463259238	-5.50751419764296
DDX43	0.150889002857652	-0.544980841522591	0.386195938282628	0.699814161134092	0.807338463259238	-5.76700395317365
ECI2	-0.0543648479347239	4.28956369629633	-0.386189168796969	0.699819165266365	0.807338463259238	-6.35877315970373
MRPS11	0.0312229123840586	3.73946548680416	0.386183094107353	0.699823655803407	0.807338463259238	-6.26345864406869
ADH4	-0.191768248890231	-1.43992000362379	-0.386081955635516	0.699898421022605	0.807356287805386	-5.7034801743231
GATM	0.133310280429902	6.70386332449735	0.386067749466304	0.699908922972068	0.807356287805386	-6.51286294176834
CDK3	0.0811069529061714	-2.23148523685572	0.385945774009627	0.699999096043733	0.807420033579345	-5.65972659415484
EIF4EP2	-0.0795576685224799	-2.98905746263364	-0.385837986645156	0.700078783802478	0.807471679223205	-5.53916402523
FARS2	0.0298269679926038	3.71757254889276	0.3857165697779	0.700168551911707	0.807534945824264	-6.25044674100728
KRR1P1	-0.09989698898845	-2.74863753642791	-0.385352320658916	0.700437880484291	0.807771686662591	-5.60362603550821
AGAP13P	0.103823548338569	-2.51011555790667	0.385344492673414	0.700443668973463	0.807771686662591	-5.60939470294033
YPEL4	0.0660035905000921	0.499214315213651	0.385285741182693	0.700487113963387	0.807781510358257	-5.83875130647329
PDE9A	-0.0705859802535898	3.82185653527274	-0.385182481461944	0.700563473867683	0.807829287710614	-6.2862228573782
CXCR2	0.147200164674173	-0.348015400054974	0.38508018024008	0.700639127977566	0.80787624647847	-5.76150758456989
TMED4	-0.0308914559675397	6.78045473861338	-0.384994980516109	0.700702137421487	0.807908621281427	-6.50509951723423
POGLUT2	-0.0605594069572231	3.17679473801527	-0.384680114891873	0.700935014265835	0.80813683997708	-6.13404587590525
UQCR11	-0.0426984763562559	3.7177309248007	-0.38422141057087	0.701274325946404	0.808482289814578	-6.27232929312902
SERPINB9P1	0.112532810579986	2.07994498998309	0.384153585233681	0.701324502646404	0.808482289814578	-5.96827365316024
AC027348.1	-0.0987481498069398	-3.00865062633171	-0.384133300085959	0.701339509709006	0.808482289814578	-5.58578011391229
AC010970.1	0.233581694361055	-3.75261898488268	0.384074819276419	0.701382774787582	0.80849186679063	-5.41286967888913
LINC02099	-0.111375619990372	-3.07081016424522	-0.383980586650214	0.701452491710891	0.808531932633416	-5.53814687529261
ALG5	0.0370963564510092	5.18957687108086	0.383906985852988	0.701506946176203	0.808554403028169	-6.47036797561269
WEE1	0.0543650383251508	4.89178839613535	0.383574096899148	0.701753257515636	0.808797993712146	-6.4279681450161
AC079944.2	0.0571866977820839	-1.87823460580621	0.383301208108244	0.701955197082292	0.808990422469566	-5.68103791988919
AC090946.1	0.102677815039839	-3.00697827429914	0.383002809424384	0.702176038437405	0.809204614927515	-5.55541923692816
AC079466.1	-0.220305212945417	-3.64917234707243	-0.382869526397663	0.702274687832424	0.809277976093089	-5.48971569005241
ATP5F1B	0.0318106547654828	8.80130408332224	0.382769686043272	0.702348587956727	0.809322811133634	-6.40287694970148
FBXO24	0.0597779470476734	-1.77554285889726	0.382662165615354	0.702428175913821	0.80937419552286	-5.69473241857797
AC010319.3	0.0883517365855666	-3.05927240286047	0.3824121332447	0.702613265703243	0.809547133422239	-5.53910747431234
AL031186.1	-0.0630413589064363	-1.95270736360096	-0.382220144934205	0.702755399675332	0.809653674228	-5.68569904782364
AC015922.3	0.0580979313724801	2.12030475997687	0.38219265986544	0.702775748448941	0.809653674228	-5.98752089912522
RIMS3	-0.0686329300241442	1.72900594573342	-0.381960981059816	0.702947282097809	0.809808602436964	-5.94370735571398
BRPF1	0.0245371264695393	4.6566189733485	0.381916450717719	0.702980253853638	0.809808602436964	-6.39734324493655
OMD	-0.149659122927597	2.46379923678434	-0.381757434581822	0.70309799932143	0.80990206682222	-5.98185189413041
LENG8	-0.061353677220537	7.34667632999244	-0.381712294584691	0.703131425100456	0.80990206682222	-6.4730983749141
SLITRK4	-0.121185959047715	1.03609734945807	-0.381617785421459	0.703201410195876	0.809942341384971	-5.86940183102134
AC245100.7	0.05933855870486	0.506803657687741	0.381190644614503	0.703517744381879	0.810223471867467	-5.85715696132519
B3GNT9	-0.0446314947250417	3.88035199785696	-0.381144950868835	0.703551587561911	0.810223471867467	-6.28308481545127
HAL	0.107525263000119	-0.168738677365217	0.381143061016259	0.703552987298414	0.810223471867467	-5.80703699566459
APLN	-0.115565542448929	1.3925831709535	-0.381099003006216	0.703585619551462	0.810223471867467	-5.91584778044598
AC005387.1	0.068408669895097	-2.36368195675406	0.381006136534399	0.703654404356999	0.810262338260825	-5.65236949781039
CAP1P1	0.0733592977332279	-0.479863859790298	0.380923200944397	0.7037158355743	0.810292733504054	-5.77127010302869
HOXB-AS1	-0.0714466758986205	0.0748125825536507	-0.38077029750602	0.703829097785175	0.810369542213199	-5.82277947444146
STOM	-0.0505809137441871	7.25463795522711	-0.380738545582973	0.703852618643149	0.810369542213199	-6.49579726663368
NDUFAF2P1	0.0605061497205743	-2.11225644220176	0.380681359776112	0.703894980868636	0.810371690586015	-5.64420150199447
VPS41	0.025459327364139	6.17835716273523	0.38064142857718	0.703924561737852	0.810371690586015	-6.51377855717281
CAMK1G	-0.0703681420658645	0.318549536444135	-0.380326430523724	0.704157926845981	0.810581406295268	-5.8256769574241
AC068647.2	-0.187140450832313	-2.59486856572953	-0.380300922917141	0.704176825289023	0.810581406295268	-5.61751787734323
AL355999.1	-0.0699714430999583	-1.82237360680464	-0.380228025828246	0.704230835349875	0.810603232965307	-5.69748265664301
KLHDC8B	0.0497511364380827	4.37004031901548	0.380107520955038	0.704320121713533	0.81065253184123	-6.35884644632748
WASF2	-0.0341485498973864	7.15766199617011	-0.38007561007043	0.7043437663157	0.81065253184123	-6.49912885223447
IGLV1-40	-0.201946667719361	3.9067113564344	-0.379895129475122	0.704477500149189	0.810729508913311	-6.24912440878876
AP002761.3	0.0759120905125498	-1.13193066690822	0.379890734768696	0.704480756685871	0.810729508913311	-5.74974015601408
DHX16	0.0234267341096031	5.51112055344759	0.379706735062891	0.704617107849302	0.810827939301889	-6.49331256280919
GRIPAP1	-0.0258260874655933	6.03257468248443	-0.379680696808413	0.704636404013692	0.810827939301889	-6.51499602640097
CST5	0.147825049985996	-2.7110808824057	0.379191461844766	0.704998996900876	0.811204815936491	-5.58264642304278
AC004593.1	-0.117992989125538	-2.96257953469297	-0.379040931112023	0.705110575246308	0.811292840370957	-5.56385812401924
DOK5	0.107215255689082	2.77216745029573	0.378814008781488	0.70527878965437	0.811446017666216	-6.04707678303749
AL118508.1	-0.128956266143225	-0.975199861923813	-0.378709128605368	0.705356540799202	0.811464834939844	-5.75701369093994
PDE6G	-0.0978345610122048	-0.373222911969881	-0.378697291044057	0.705365316569986	0.811464834939844	-5.78746451913671
GCGR	-0.153354525297377	-0.68455866262535	-0.378490517851198	0.705518614158991	0.811600083715377	-5.7829307298903
FAT1	0.0702336007790763	7.85590137654791	0.378360109041906	0.705615302891707	0.811600083715377	-6.47320420533753
AL031673.1	0.0767734231762811	-1.64326407861036	0.378356839396765	0.705617727159524	0.811600083715377	-5.71139134430487
LINC01597	0.137177165304387	0.34516900798431	0.378349393164156	0.705623248155863	0.811600083715377	-5.83366359147115
ZNF436	-0.039154390874983	4.29719073895987	-0.378004805590998	0.70587875911087	0.811853594943369	-6.32833080397733
PAK6	-0.0749972400986558	3.15272857070885	-0.377837747700589	0.70600264422147	0.811955701419898	-6.17733981302931
LINC02331	-0.163500293648805	0.95555609891483	-0.3774218759531	0.706311076331736	0.8122700300035	-5.8654757426163
CSF2RA	0.0956623461889694	3.33320693299572	0.377227419918588	0.706455311732013	0.812395507644093	-6.13971134158579
RPL36AL	-0.0352314373133877	7.32561268512934	-0.37698531201941	0.706634907182203	0.812546404138779	-6.48541592716945
FBXO4	-0.0301855224983223	3.34139863923223	-0.376955806092319	0.706656795782057	0.812546404138779	-6.1939310524664
AC027117.2	0.128815742961962	-3.35973723223089	0.376902172006407	0.706696584178684	0.812551757339528	-5.54429498528881
