accession	file_source	full_path	file_name	ext	size_bytes	likely_matrix	likely_barcodes	likely_features	likely_metadata	likely_seurat_object
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204113_P05_features.tsv.gz"	"GSM6204113_P05_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204113_P05_matrix.mtx.gz"	"GSM6204113_P05_matrix.mtx.gz"	"gz"	140910423	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204114_P06_barcodes.tsv.gz"	"GSM6204114_P06_barcodes.tsv.gz"	"gz"	33356	"NO"	"YES"	"NO"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204114_P06_features.tsv.gz"	"GSM6204114_P06_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204114_P06_matrix.mtx.gz"	"GSM6204114_P06_matrix.mtx.gz"	"gz"	24853584	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204115_P07_barcodes.tsv.gz"	"GSM6204115_P07_barcodes.tsv.gz"	"gz"	34562	"NO"	"YES"	"NO"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204115_P07_features.tsv.gz"	"GSM6204115_P07_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204115_P07_matrix.mtx.gz"	"GSM6204115_P07_matrix.mtx.gz"	"gz"	50719880	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204116_P08_barcodes.tsv.gz"	"GSM6204116_P08_barcodes.tsv.gz"	"gz"	53985	"NO"	"YES"	"NO"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204116_P08_features.tsv.gz"	"GSM6204116_P08_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204116_P08_matrix.mtx.gz"	"GSM6204116_P08_matrix.mtx.gz"	"gz"	64542859	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204117_P09_barcodes.tsv.gz"	"GSM6204117_P09_barcodes.tsv.gz"	"gz"	17126	"NO"	"YES"	"NO"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204117_P09_features.tsv.gz"	"GSM6204117_P09_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204117_P09_matrix.mtx.gz"	"GSM6204117_P09_matrix.mtx.gz"	"gz"	22392436	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204118_P10_barcodes.tsv.gz"	"GSM6204118_P10_barcodes.tsv.gz"	"gz"	51156	"NO"	"YES"	"NO"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204118_P10_features.tsv.gz"	"GSM6204118_P10_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204118_P10_matrix.mtx.gz"	"GSM6204118_P10_matrix.mtx.gz"	"gz"	69512300	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204119_P11_barcodes.tsv.gz"	"GSM6204119_P11_barcodes.tsv.gz"	"gz"	59111	"NO"	"YES"	"NO"	"YES"	"NO"
