sample_name	full_path	file_name	ext	size_bytes	likely_matrix	likely_barcodes	likely_features	likely_metadata	likely_object
"GSM4710708_AdjNorm_TISSUE_3"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710708_AdjNorm_TISSUE_3/AdjNorm_TISSUE_3/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710708_AdjNorm_TISSUE_3"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710708_AdjNorm_TISSUE_3/AdjNorm_TISSUE_3/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	10194531	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710709_PDAC_PBMC_1"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710709_PDAC_PBMC_1/PDAC_PBMC_1/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	14725	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710709_PDAC_PBMC_1"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710709_PDAC_PBMC_1/PDAC_PBMC_1/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710709_PDAC_PBMC_1"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710709_PDAC_PBMC_1/PDAC_PBMC_1/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	13853264	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710710_PDAC_PBMC_2"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710710_PDAC_PBMC_2/PDAC_PBMC_2/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	18493	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710710_PDAC_PBMC_2"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710710_PDAC_PBMC_2/PDAC_PBMC_2/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710710_PDAC_PBMC_2"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710710_PDAC_PBMC_2/PDAC_PBMC_2/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	16432382	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710711_PDAC_PBMC_3"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710711_PDAC_PBMC_3/PDAC_PBMC_3/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	19075	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710711_PDAC_PBMC_3"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710711_PDAC_PBMC_3/PDAC_PBMC_3/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710711_PDAC_PBMC_3"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710711_PDAC_PBMC_3/PDAC_PBMC_3/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	20758902	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710712_PDAC_PBMC_4"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710712_PDAC_PBMC_4/PDAC_PBMC_4/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	29626	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710712_PDAC_PBMC_4"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710712_PDAC_PBMC_4/PDAC_PBMC_4/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710712_PDAC_PBMC_4"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710712_PDAC_PBMC_4/PDAC_PBMC_4/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	24745791	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710713_PDAC_PBMC_5"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710713_PDAC_PBMC_5/PDAC_PBMC_5/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	24893	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710713_PDAC_PBMC_5"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710713_PDAC_PBMC_5/PDAC_PBMC_5/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710713_PDAC_PBMC_5"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710713_PDAC_PBMC_5/PDAC_PBMC_5/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	21305534	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710714_PDAC_PBMC_6"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710714_PDAC_PBMC_6/PDAC_PBMC_6/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	18292	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710714_PDAC_PBMC_6"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710714_PDAC_PBMC_6/PDAC_PBMC_6/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710714_PDAC_PBMC_6"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710714_PDAC_PBMC_6/PDAC_PBMC_6/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	16826395	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710715_PDAC_PBMC_7"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710715_PDAC_PBMC_7/PDAC_PBMC_7/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	24589	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710715_PDAC_PBMC_7"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710715_PDAC_PBMC_7/PDAC_PBMC_7/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710715_PDAC_PBMC_7"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710715_PDAC_PBMC_7/PDAC_PBMC_7/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	30272885	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710716_PDAC_PBMC_8"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710716_PDAC_PBMC_8/PDAC_PBMC_8/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	30169	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710716_PDAC_PBMC_8"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710716_PDAC_PBMC_8/PDAC_PBMC_8/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710716_PDAC_PBMC_8"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710716_PDAC_PBMC_8/PDAC_PBMC_8/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	23378053	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710717_PDAC_PBMC_9"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710717_PDAC_PBMC_9/PDAC_PBMC_9/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	21116	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710717_PDAC_PBMC_9"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710717_PDAC_PBMC_9/PDAC_PBMC_9/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
"GSM4710717_PDAC_PBMC_9"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710717_PDAC_PBMC_9/PDAC_PBMC_9/filtered_feature_bc_matrix/matrix.mtx.gz"	"matrix.mtx.gz"	"gz"	21219239	"YES"	"NO"	"NO"	"NO"	"NO"
"GSM4710718_PDAC_PBMC_10A"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710718_PDAC_PBMC_10A/PDAC_PBMC_10A/filtered_feature_bc_matrix/barcodes.tsv.gz"	"barcodes.tsv.gz"	"gz"	31401	"NO"	"YES"	"NO"	"YES"	"NO"
"GSM4710718_PDAC_PBMC_10A"	"06_scRNA/01_raw_data/GSE155698/gsm_extracted/GSM4710718_PDAC_PBMC_10A/PDAC_PBMC_10A/filtered_feature_bc_matrix/features.tsv.gz"	"features.tsv.gz"	"gz"	310002	"NO"	"NO"	"YES"	"YES"	"NO"
