gene_symbol_std	contrast	pathway_id	pathway_label	NES	p_adjust	gene_symbol_raw	gene_symbol_raw_deg	logFC	adj.P.Val	t	gene_symbol	direction	abs_logFC
SUPT5H	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	SUPT5H	SUPT5H	-0.24650977470341	0.0356552602834928	-2.54745981493142	SUPT5H	negative_pathway	0.24650977470341
RFC2	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	RFC2	RFC2	-0.234111690587148	0.0661339313202552	-2.24497699659055	RFC2	negative_pathway	0.234111690587148
DUT	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	DUT	DUT	-0.22667038183959	0.0387532839353957	-2.50859767853254	DUT	negative_pathway	0.22667038183959
NELFCD	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	NELFCD	NELFCD	-0.220420109982155	0.0317852318489202	-2.59920914451714	NELFCD	negative_pathway	0.220420109982155
POLR1D	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	POLR1D	POLR1D	-0.211440947181881	0.0599531828182456	-2.29645593112056	POLR1D	negative_pathway	0.211440947181881
POLR3GL	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	POLR3GL	POLR3GL	-0.203185998434684	0.0700304905104876	-2.2148706798324	POLR3GL	negative_pathway	0.203185998434684
RAE1	high_vs_low	HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	-1.66002396761773	0.000825988209238817	RAE1	RAE1	-0.181921784184017	0.0914027813916335	-2.0736085852985	RAE1	negative_pathway	0.181921784184017
PRSS2	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	PRSS2	PRSS2	2.66385530688818	0.036099933187221	2.54215938267885	PRSS2	positive_pathway	2.66385530688818
DKK1	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	DKK1	DKK1	1.77323498019806	0.0227511897950785	2.74744038158492	DKK1	positive_pathway	1.77323498019806
COL11A1	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	COL11A1	COL11A1	1.54677698555122	0.0605392225185578	2.29138621583105	COL11A1	positive_pathway	1.54677698555122
MMP1	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	MMP1	MMP1	1.4936377280597	0.0378803932322715	2.51937796417331	MMP1	positive_pathway	1.4936377280597
TNFRSF11B	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	TNFRSF11B	TNFRSF11B	1.46458227414583	0.00318716675216431	3.51577804836713	TNFRSF11B	positive_pathway	1.46458227414583
GREM1	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	GREM1	GREM1	1.44068267824086	0.0125188759449832	2.9958419608125	GREM1	positive_pathway	1.44068267824086
THBS2	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	THBS2	THBS2	1.44028634974856	0.00278127784190643	3.56745294356588	THBS2	positive_pathway	1.44028634974856
ANPEP	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	ANPEP	ANPEP	1.42644982761759	0.00499597897952796	3.35552238346041	ANPEP	positive_pathway	1.42644982761759
CXCL6	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	CXCL6	CXCL6	1.39069477668671	0.045343866428559	2.43391083915023	CXCL6	positive_pathway	1.39069477668671
VCAN	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	VCAN	VCAN	1.34212992177615	0.000483952541173091	4.14909579806093	VCAN	positive_pathway	1.34212992177615
CXCL8	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	CXCL8	CXCL8	1.21600741191726	0.0217389497904763	2.76734277582771	CXCL8	positive_pathway	1.21600741191726
LAMA3	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	LAMA3	LAMA3	1.19782006552175	0.00212226564988116	3.66125362448645	LAMA3	positive_pathway	1.19782006552175
LAMC2	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	LAMC2	LAMC2	1.19438208003357	0.014784781075243	2.92758964772048	LAMC2	positive_pathway	1.19438208003357
FBN1	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	FBN1	FBN1	1.18976407217742	0.000380493765287641	4.22433372942878	FBN1	positive_pathway	1.18976407217742
INHBA	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	INHBA	INHBA	1.18431737455077	0.00490013429865697	3.36299080450009	INHBA	positive_pathway	1.18431737455077
LAMA2	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	LAMA2	LAMA2	1.18379385617133	0.000102219650926579	4.63420271729328	LAMA2	positive_pathway	1.18379385617133
MYLK	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	MYLK	MYLK	1.16268593766065	0.000513189883511346	4.13029093415329	MYLK	positive_pathway	1.16268593766065
MMP3	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	MMP3	MMP3	1.13672568123693	0.0504919345562282	2.38180310638653	MMP3	positive_pathway	1.13672568123693
MXRA5	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	MXRA5	MXRA5	1.12756910104302	0.00739771120301517	3.20422965566603	MXRA5	positive_pathway	1.12756910104302
SPOCK1	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	SPOCK1	SPOCK1	1.12354380530161	0.00296625374727152	3.54366498321375	SPOCK1	positive_pathway	1.12354380530161
NOTCH2	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	NOTCH2	NOTCH2	1.10770570238122	9.93758575458457e-06	5.29467822911614	NOTCH2	positive_pathway	1.10770570238122
MFAP5	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	MFAP5	MFAP5	1.08867646984847	0.0437749475181077	2.45140474907869	MFAP5	positive_pathway	1.08867646984847
COL12A1	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	COL12A1	COL12A1	1.07982293455304	0.00932245308187741	3.11249380258343	COL12A1	positive_pathway	1.07982293455304
CDH11	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	CDH11	CDH11	1.07680117347171	0.00445390421778603	3.39778273258771	CDH11	positive_pathway	1.07680117347171
SFRP4	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	SFRP4	SFRP4	1.05638744449	0.0235540844467177	2.73114746386684	SFRP4	positive_pathway	1.05638744449
COL6A3	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	COL6A3	COL6A3	1.03389625158242	0.0077258484926406	3.18688078883725	COL6A3	positive_pathway	1.03389625158242
ADAM12	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	ADAM12	ADAM12	1.02911783906842	0.0438246160745865	2.45079692185589	ADAM12	positive_pathway	1.02911783906842
COL5A2	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	COL5A2	COL5A2	1.02615502957463	0.00523461689259779	3.33706363664614	COL5A2	positive_pathway	1.02615502957463
SPP1	high_vs_low	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.8706017450041	6.54326700544713e-22	SPP1	SPP1	1.002424882572	0.0395966710710831	2.49825495160907	SPP1	positive_pathway	1.002424882572
