gene_symbol_std	contrast	pathway_id	pathway_label	NES	p_adjust	gene_symbol_raw	gene_symbol_raw_deg	logFC	adj.P.Val	t	gene_symbol	direction	abs_logFC
FGF2	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	FGF2	FGF2	1.12218465207622	4.30222642418794e-07	5.67474152080986	FGF2	positive_pathway	1.12218465207622
SFRP4	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	SFRP4	SFRP4	1.11451047725697	0.001240432483351	3.59767739421782	SFRP4	positive_pathway	1.11451047725697
FBN2	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	FBN2	FBN2	1.09007721066175	2.84259326787736e-05	4.6653119653452	FBN2	positive_pathway	1.09007721066175
CALD1	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	CALD1	CALD1	1.08899367232866	7.10492068049495e-08	6.07179991648126	CALD1	positive_pathway	1.08899367232866
COL6A3	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	COL6A3	COL6A3	1.07735879899849	0.000235636781916655	4.0955101846516	COL6A3	positive_pathway	1.07735879899849
DCN	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	DCN	DCN	1.05317220217822	1.548399518095e-05	4.82136450294208	DCN	positive_pathway	1.05317220217822
INHBA	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	INHBA	INHBA	1.04188338876312	0.000696871619417002	3.7762935875568	INHBA	positive_pathway	1.04188338876312
FERMT2	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	FERMT2	FERMT2	1.03302926775078	1.69197388347331e-10	7.31977264082211	FERMT2	positive_pathway	1.03302926775078
SCG2	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	SCG2	SCG2	1.02566567194939	0.00562661575682965	3.09586939192329	SCG2	positive_pathway	1.02566567194939
FBLN5	high_vs_intermediate	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	2.39233649793929	6.5199304326753e-13	FBLN5	FBLN5	1.02199724923317	3.14796800964722e-07	5.74503432234988	FBLN5	positive_pathway	1.02199724923317
